0000 language_model.embed_tokens Embedding in=[([1, 3116], 'torch.int64', 'cpu')] out=([1, 3116, 2048], 'torch.float32', 'cpu')
0125 visual.blocks.16.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0126 visual.blocks.16.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0127 visual.blocks.16.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0128 visual.blocks.16.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0129 visual.blocks.16.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0130 visual.blocks.16.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0131 visual.blocks.17.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0132 visual.blocks.17.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0133 visual.blocks.17.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0134 visual.blocks.17.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0135 visual.blocks.17.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0136 visual.blocks.17.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0137 visual.blocks.17.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0138 visual.deepstack_merger_list.2.norm LayerNorm in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0139 visual.deepstack_merger_list.2.linear_fc1 Linear in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0140 visual.deepstack_merger_list.2.act_fn GELU in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0141 visual.deepstack_merger_list.2.linear_fc2 Linear in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 2048], 'torch.float32', 'cpu')
0142 visual.blocks.18.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0143 visual.blocks.18.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0144 visual.blocks.18.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0145 visual.blocks.18.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0146 visual.blocks.18.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0147 visual.blocks.18.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0148 visual.blocks.18.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0149 visual.blocks.19.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0150 visual.blocks.19.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0151 visual.blocks.19.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0152 visual.blocks.19.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0153 visual.blocks.19.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0154 visual.blocks.19.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0155 visual.blocks.19.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0156 visual.blocks.20.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0157 visual.blocks.20.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0158 visual.blocks.20.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0159 visual.blocks.20.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
